stations	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	0_21	0_22	0_23	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	5_0	5_1	5_2	5_3	5_4	5_5	5_6	5_7	5_8	5_9	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	6_0	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23
八德市場	0	0	0	0	0	0	0	0	3	0	0	0	0	0	22	1	0	0	0	46	13	0	0	1	5	52	39	15	25	6	11	33	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	15	12	17	6	24	9	0	0	0	0	0	0	0	0	0	0	0	0	27	27	0	0	46	18	18	9	47	31	0	3	0	15	0	0	0	0	8	13	0	0	0	0	0	0	0	0	0	26	12	22	4	45	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	89	18	0	0	8	1	9	12	0	0	0	0	6	0	9	0	0	0	2	44	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	4	34	13	0	0	0	0	0	0
三民公園	0	0	0	0	0	0	0	0	0	12	66	31	59	131	26	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	17	50	60	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	49	63	42	1	58	24	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	42	0	0	15	50	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	47	23	17	50	42	54	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	37	6	70	26	55	82	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	13	0	0	24	32	19	0	0	0	0	0	0	0	0
三張犁	0	0	0	0	0	0	0	0	0	11	81	124	22	24	40	33	20	0	0	0	0	0	0	0	0	57	80	21	24	0	0	15	0	72	146	51	2	39	33	0	0	16	0	30	53	0	0	0	0	15	38	0	1	7	14	0	4	73	82	18	0	4	0	0	0	0	0	0	0	0	0	0	30	64	86	49	27	6	0	0	0	107	52	97	37	40	26	27	3	0	0	0	4	13	0	0	17	20	56	23	2	37	30	12	20	172	61	27	20	22	20	0	0	0	0	0	0	0	9	26	14	75	11	0	0	25	1	0	9	160	46	17	12	53	3	43	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	23	59	62	50	0	49	10	0	0	0	0	0	0	30	4
士林運動中心	0	0	0	0	0	0	0	0	0	0	0	31	3	12	12	4	71	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	37	2	5	36	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	19	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	16	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	38	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	54	0	16	11	0	0	0	0	0	0	0	0
大業大同街口	0	0	0	0	0	0	0	0	0	0	43	6	4	58	121	130	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	47	23	107	135	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	22	3	8	79	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	84	119	27	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	24	17	21	45	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	52	15	108	104	28	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21	0	5	69	85	0	0	0	0	0	0	0	0
大豐公園	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	30	79	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	24	6	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	15	0	0	0	0	0	0	0
大鵬華城	0	0	0	0	0	0	0	0	0	0	16	10	0	0	18	27	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	5	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	56	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	38	27	0	0	0	0	0	0	0	0
中山行政中心	0	0	18	30	24	0	0	0	0	0	12	12	0	75	47	27	47	5	0	0	0	0	0	0	0	2	13	0	0	0	18	0	0	21	12	0	0	0	86	50	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	64	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	9	0	0	0	0	0	0	48	2	1	0	0	0	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	33	0	0	0	0	0	0	0
中正基河路口	14	0	9	4	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	13	18	10	15	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	63	0	0	17	22	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	32	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	18	0	0	0	0	0	0	0	0	0	0	0	40	30	8	0	0	0	0	0	0	0	0	0
中研公園	0	0	0	0	0	0	0	0	0	0	2	12	79	115	142	52	0	0	0	0	0	0	0	0	12	16	16	0	0	0	0	0	3	61	75	25	0	83	195	38	0	0	0	0	0	0	0	0	32	75	22	20	0	0	0	10	0	0	0	0	9	2	44	39	0	6	0	0	0	0	38	0	18	117	54	0	0	0	0	0	0	0	0	0	0	5	13	0	3	0	0	0	0	0	0	0	0	28	2	0	0	0	0	0	0	0	0	21	0	66	148	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	62	13	0	0	3	51	10	38	31	2	0	0	0	0	0	0	0	0	0	0	0	6	21	0	2	95	84	56	80	198	61	13	0	0	0	0	0	0	0
